,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,ID½Å±ÔºÎ¿©,len
90,2060118600,2060037900,2060037400,0,0,107,000,-,È²»õ¿ï2±æ,0,000,0,0,0,0,,5,,,OEXT2060037900,OEXT2060037400,OEXT2060118600,,sn_si-kg,206,00000,,0.00075324011796
91,2060110000,2060038000,2060034800,0,0,107,000,-,»õµ¿¾È±æ,0,000,0,0,0,0,,5,,,OEXT2060038000,OEXT2060034800,OEXT2060110000,,sn_si-kg,206,00000,,0.0063593668414
92,2060111200,2060035600,2060035300,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,,5,,,OEXT2060035600,OEXT2060035300,OEXT2060111200,,sn_si-kg,206,00000,,0.000767427665236
93,2060119400,2060038200,2060037600,0,0,107,000,-,È²»õ¿ï±æ,0,000,0,0,0,0,,5,,,OEXT2060038200,OEXT2060037600,OEXT2060119400,,sn_si-kg,206,00000,,0.00122527368686
94,2060101200,2060032700,2060031700,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,,5,,,OEXT2060032700,OEXT2060031700,OEXT2060101200,,sn_si-kg,206,00000,,0.00185025976274
95,2060102200,2060032400,2060032000,0,0,107,000,-,ÃÊ¸²±æ,0,000,0,0,0,0,,5,,,OEXT2060032400,OEXT2060032000,OEXT2060102200,,sn_si-kg,206,00000,,0.000773267789654
96,2060100200,2060031700,2060031400,0,0,107,000,-,ÃÊ¸²1±æ,0,000,0,0,0,0,,5,,,OEXT2060031700,OEXT2060031400,OEXT2060100200,,sn_si-kg,206,00000,,0.000832828967475
97,2060096200,2060030900,2060030100,0,0,107,000,-,ÃÊ¸²2±æ,0,000,0,0,0,0,,5,,,OEXT2060030900,OEXT2060030100,OEXT2060096200,,sn_si-kg,206,00000,,0.000843944059597
98,2060108400,2060034800,2060034400,0,0,107,000,-,»õµ¿¾È±æ,0,000,0,0,0,0,,5,,,OEXT2060034800,OEXT2060034400,OEXT2060108400,,sn_si-kg,206,00000,,0.000804850311426
99,2060111400,2060036300,2060035300,0,0,107,000,-,ºÐ´ç·Î,0,000,0,0,0,0,,5,,,OEXT2060036300,OEXT2060035300,OEXT2060111400,,sn_si-kg,206,00000,,0.00214282563779
